Title,Creator,Publication,Date,DOI,Citations,Abstract
Identification of Anti-Tuberculosis Drugs Targeting DNA Gyrase A and Serine/Threonine Protein Kinase PknB: A Machine Learning-Assisted Drug-Repurposing Approach,Lee D.,Tropical Medicine and Infectious Disease,2024-12-01,10.3390/tropicalmed9120288,3,"Tuberculosis (TB) is a global health challenge associated with considerable levels of illness and mortality worldwide. The development of innovative therapeutic strategies is crucial to combat the rise of drug-resistant TB strains. DNA Gyrase A (GyrA) and serine/threonine protein kinase (PknB) are promising targets for new TB medications. This study employed techniques such as similarity searches, molecular docking analyses, machine learning (ML)-driven absolute binding-free energy calculations, and molecular dynamics (MD) simulations to find potential drug candidates. By combining ligand- and structure-based methods with ML principles and MD simulations, a novel strategy was proposed for identifying small molecules. Drugs with structural similarities to existing TB therapies were assessed for their binding affinity to GyrA and PknB through various docking approaches and ML-based predictions. A detailed analysis identified six promising compounds for each target, such as DB00199, DB01220, DB06827, DB11753, DB14631, and DB14703 for GyrA; and DB00547, DB00615, DB06827, DB14644, DB11753, and DB14703 for PknB. Notably, DB11753 and DB14703 show significant potential for both targets. Furthermore, MD simulations' statistical metrics confirm the drug-target complexes' stability, with MM-GBSA analyses underscoring their strong binding affinity, indicating their promise for TB treatment even though they were not initially designed for this disease."
"Nanopore-based targeted sequencing test for direct tuberculosis identification,genotyping, and detection of drug resistance mutations: a side-by-side comparison of targeted next-generation sequencing technologies",Cabibbe A.M.,Journal of Clinical Microbiology,2024-10-01,10.1128/jcm.00815-24,20,"We investigated the performance of the targeted next-generation sequencing (tNGS)-based Oxford Nanopore Diagnostics AmPORE TB assay, recently approved by the World Health Organization (WHO) as tuberculosis (TB) diagnostic test for the detection of drug resistance on respiratory specimens. A total of 104 DNA samples from Xpert MTB/RIF-positive TB sputum specimens were tested using the AmPORE TB kit, with the GenoScreen Deeplex Myc-TB as a comparative tNGS assay. For AmPORE TB, DNA samples were divided into five sequencing runs on the MinION device. Data analysis was performed using proprietary software. The WHO catalog of mutations was used for drug resistance interpretation. The assay achieved a high validity rate of 98% (102/104 DNA samples), homogeneous mean reads coverage across TB-positive specimens, and 100% positive and negative agreements for detecting mutations associated with resistance to rifampicin, pyrazinamide, fluoroquinolones, ethambutol, and capreomycin compared with Deeplex Myc-TB. The main discrepancies for the remaining drugs were attributable to the different assay panel designs. The AmPORE TB turnaround time was approximately 5-6 hours from extracted DNA to tNGS reporting for batches of 22 DNA samples. The AmPORE TB assay drastically reduced the time to tNGS reporting from days to hours and showed good performance for drug-resistant TB profiling compared with Deeplex Myc-TB. IMPORTANCE: provides comprehensive resistance predictions matched to new multidrug-resistant/rifampicin-resistant tuberculosis regimens and received World Health Organization approval for clinical use in respiratory samples in 2024. The advanced version of the Oxford Nanopore Diagnostics AmPORE TB tNGS kit was evaluated in this study for the first time and demonstrated good performance, flexibility, and faster turnaround time compared with the existing solutions."
Identification of echinoderm metabolites as potential inhibitors targeting wild-type and mutant forms of Escherichia coli RNA polymerase (RpoB) for tuberculosis treatment,Alsulais F.M.,Plos One,2024-08-01,10.1371/journal.pone.0304587,3,"Tuberculosis (TB) remains a critical global health challenge, with the emergence of drug-resistant strains heightening concerns. The development of effective drugs targeting both wild-type (WT) and mutant Escherichia coli RNA polymerase β subunit (RpoB) is crucial for global TB control, aiming to alleviate TB incidence, mortality, and transmission. This study employs molecular docking and ADMET analyses to screen echinoderm metabolites for their potential inhibition of Escherichia coli RNA polymerase, focusing on wild-type and mutant RpoB variants associated with TB drug resistance. The evaluation of docking results using the glide gscore led to the selection of the top 10 compounds for each protein receptor. Notably, CMNPD2176 demonstrated the highest binding affinity against wild-type RpoB, CMNPD13873 against RpoB D516V mutant, CMNPD2177 against RpoB H526Y mutant, and CMNPD11620 against RpoB S531L mutant. ADMET screening confirmed the therapeutic potential of these selected compounds. Additionally, MM-GBSA binding free energy calculations and molecular dynamics simulations provided further support for the docking investigations. While the results suggest these compounds could be viable for tuberculosis treatment, it is crucial to note that further in-vitro research is essential for the transition from prospective inhibitors to clinical drugs."
Computational Approaches for the Structure-Based Identification of Novel Inhibitors Targeting Nucleoid-Associated Proteins in Mycobacterium Tuberculosis,Sunita ,Molecular Biotechnology,2024-04-01,10.1007/s12033-023-00710-5,2,Sin abstract en OpenAlex
A high-throughput target-based screening approach for the identification and assessment of Mycobacterium tuberculosis mycothione reductase inhibitors,Smiejkowska N.,Microbiology Spectrum,2024-03-01,10.1128/spectrum.03723-23,8,"ABSTRACT The World Health Organization’s goal to combat tuberculosis (TB) is hindered by the emergence of anti-microbial resistance, therefore necessitating the exploration of new drug targets. Multidrug regimens are indispensable in TB therapy as they provide synergetic bactericidal effects, shorten treatment duration, and reduce the risk of resistance development. The research within our European RespiriTB consortium explores Mycobacterium tuberculosis energy metabolism to identify new drug candidates that synergize with bedaquiline, with the aim of discovering more efficient combination drug regimens. In this study, we describe the development and validation of a luminescence-coupled, target-based assay for the identification of novel compounds inhibiting Mycobacterium tuberculosis mycothione reductase (Mtr Mtb ), an enzyme with a role in the protection against oxidative stress. Recombinant Mtr Mtb was employed for the development of a highly sensitive, robust high-throughput screening (HTS) assay by coupling enzyme activity to a bioluminescent readout. Its application in a semi-automated setting resulted in the screening of a diverse library of ~130,000 compounds, from which 19 hits were retained after an assessment of their potency, selectivity, and specificity. The selected hits formed two clusters and four fragment molecules, which were further evaluated in whole-cell and intracellular infection assays. The established HTS discovery pipeline offers an opportunity to deliver novel Mtr Mtb inhibitors and lays the foundation for future efforts in developing robust biochemical assays for the identification and triaging of inhibitors from high-throughput library screens. IMPORTANCE The growing anti-microbial resistance poses a global public health threat, impeding progress toward eradicating tuberculosis. Despite decades of active research, there is still a dire need for the discovery of drugs with novel modes of action and exploration of combination drug regimens. Within the European RespiriTB consortium, we explore Mycobacterium tuberculosis energy metabolism to identify new drug candidates that synergize with bedaquiline, with the aim of discovering more efficient combination drug regimens. In this study, we present the development of a high-throughput screening pipeline that led to the identification of M. tuberculosis mycothione reductase inhibitors."
Identification of Chemical Scaffolds Targeting Drug-Resistant and Latent Mycobacterium tuberculosis through High-Throughput Whole-Cell Screening,Perveen S.,ACS Infectious Diseases,2024-02-09,10.1021/acsinfecdis.3c00463,9,"Identification of structurally unique chemical entities targeting unexplored bacterial targets is a prerequisite to combat increasing drug resistance against Mycobacterium tuberculosis . This study employed a whole-cell screening approach as an initial filter to scrutinize a 10,000-compound chemical library, resulting in the discovery of seven potent compounds with MIC values ranging from 1.56 to 25 μM. These compounds were categorized into four distinct chemical groups. Remarkably, they demonstrated efficacy against drug-resistant and nonreplicating tuberculosis strains, highlighting their effectiveness across different infection states. With a favorable selectivity index (>10), these compounds showed a safe therapeutic range and exhibited potency in an intracellular model of Mtb infection, mimicking the in vivo setup. Combining these identified hits with established anti-TB drugs revealed additive effects with rifampicin, isoniazid, and bedaquiline. Notably, IIIM-IDD-01 exhibited synergy with isoniazid and bedaquiline, likely due to their complementary mechanisms of targeting Mtb . Most potent hits, IIIM-IDD-01 and IIIM-IDD-02, displayed time- and concentration-dependent killing of Mtb . Mechanistic insights were sought through SEM and docking studies, although comprehensive evaluation is ongoing to unravel the hits’ specific targets and modes of action. The hits demonstrated favorable pharmacokinetic properties (ADME-Tox) and showed a low risk of adverse effects, along with a predicted high level of oral bioavailability. These promising hits can serve as an initial basis for subsequent medicinal chemistry endeavors aimed at developing a new series of anti-TB agents. Moreover, the study affirms the significance of high-throughput in vitro assays for the TB drug discovery. It also emphasizes the necessity of targeting diverse TB strains to address the heterogeneity of tuberculosis bacteria."
The significance of persisters in tuberculosis drug discovery: Exploring the potential of targeting the glyoxylate shunt pathway,Negi A.,European Journal of Medicinal Chemistry,2024-02-05,10.1016/j.ejmech.2023.116058,9,Sin abstract en OpenAlex
Identification of IspD as a novel target for tuberculosis treatment using compound M6,Dong L.,Frontiers in Microbiology,2024-01-01,10.3389/fmicb.2024.1461227,0,"Introduction Tuberculosis (TB) is a serious infectious disease that endangers human health, and TB becomes more difficult in eradiation due to its multidrug resistance (MDR). The objective of this research was to identify novel targets for treating TB. Methods A 2-fold serial dilution method was used to determine minimal inhibitory concentrations (MIC) of compound M6 against Mycobacterium smegmatis ( M. smegmatis ). Compound M6 was subjected to reverse molecular docking with seven Mycobacterium tuberculosis proteins, and the best binding protein with the highest LibDock score was evaluated. The target protein with the highest score was purified through prokaryotic expression. Isolated target proteins were investigated for the enzyme activities and for the kinetic effect of compound M6 by absorbance detection. Subsequently, the CRISPR/Cas9 technology was employed to inhibit target gene expression for detecting MIC changes. Finally, potential targets were evaluated for the effect of the compound M6 in bacteria. Results The MIC values of compound M6 against M. smegmatis were 32 μg/mL. The results from reverse molecular docking show that IspD has the highest LibDock score of 142.50, followed by Rv0674, IspF, and Dxr, with docking scores of 110.762, 71.6955, and 57.7446, respectively. IspD is a key enzyme in the 2-C-methyl-D-erythritol 4-phosphate pathway of MTB. The aKi and Ki values of M6 for the substrate MEP are 609.58 μM and 81.33 μM. For CTP, the aKi and Ki values are 657.89 μM and 40.07 μM. With tetracycline inducing CRISPR/Cas9 to suppress the expression of IspD, the MIC value of M6 against IspD went down significantly from 32 μg/mL to 4 μg/mL. Conclusion IspD is a novel target of the compound M6 for treating TB."
"Discovery of new naphthyridine hybrids against enoyl-ACP reductase (inhA) protein target of Mycobacterium tuberculosis: Molecular docking, molecular dynamics simulations studies",Sabarees G.,Chemical Physics Impact,2023-12-01,10.1016/j.chphi.2023.100399,5,"Tuberculosis (TB) is caused by Mycobacterium tuberculosis (Mtb) and remains a significant global public health concern, with many new cases reported annually. Despite advancements in TB treatment and control, the emergence of drug-resistant strains has presented a considerable challenge to eradication efforts. One crucial area that necessitates further research in antituberculosis is the development of effective treatments for drug-resistant strains, particularly multidrug resistance tuberculosis (MDR-TB), extensively drug-resistant tuberculosis (XDR-TB), and totally drug–resistant tuberculosis (TDR-TB). The limited and often unsatisfactory treatment options available for drug-resistant strains require the exploration of novel drugs and treatment regimens to combat this escalating issue. This study focuses on designing and developing a series of new 1,8-naphthyridine derivatives for their potential antitubercular activity. The compounds were designed and evaluated through in-silico screening using Molinspiration Cheminformatics, Osiris Property Explorer, AdmetSAR, and SwissADME. The initial filtering process identified the top 16 hybrids, which were then subjected to docking using the AutoDock tool. These compounds' binding energies were higher than the standard drug isoniazid, indicating a potentially more substantial interaction with the target. Based on the promising in silico and docking results, further investigations were conducted on the top 3 compounds, namely ST03, ST09, and ST14. To assess the stability and binding energies observed during the initial docking process, molecular dynamics simulations were performed over a 100 ns period. Both the docking and simulation studies consistently demonstrated that the 1,8-naphthyridine hybrid ST09 exhibited stable and efficient binding energies, suggesting its potential as an effective antituberculosis agent."
Bifurcation analysis of a tuberculosis progression model for drug target identification,Flores-Garza E.,Scientific Reports,2023-12-01,10.1038/s41598-023-44569-7,1,"Tuberculosis (TB) is a major cause of morbidity and mortality worldwide. The emergence and rapid spread of drug-resistant M. tuberculosis strains urge us to develop novel treatments. Experimental trials are constrained by laboratory capacity, insufficient funds, low number of laboratory animals and obsolete technology. Systems-level approaches to quantitatively study TB can overcome these limitations. Previously, we proposed a mathematical model describing the key regulatory mechanisms underlying the pathological progression of TB. Here, we systematically explore the effect of parameter variations on disease outcome. We find five bifurcation parameters that steer the clinical outcome of TB: number of bacteria phagocytosed per macrophage, macrophages death, macrophage killing by bacteria, macrophage recruitment, and phagocytosis of bacteria. The corresponding bifurcation diagrams show all-or-nothing dose-response curves with parameter regions mapping onto bacterial clearance, persistent infection, or history-dependent clearance or infection. Importantly, the pathogenic stage strongly affects the sensitivity of the host to these parameter variations. We identify parameter values corresponding to a latent-infection model of TB, where disease progression occurs significantly slower than in progressive TB. Two-dimensional bifurcation analyses uncovered synergistic parameter pairs that could act as efficient compound therapeutic approaches. Through bifurcation analysis, we reveal how modulation of specific regulatory mechanisms could steer the clinical outcome of TB."
Target Identification in Anti-Tuberculosis Drug Discovery,Capela R.,International Journal of Molecular Sciences,2023-07-01,10.3390/ijms241310482,30,"(Mtb) is the etiological agent of tuberculosis (TB), a disease that, although preventable and curable, remains a global epidemic due to the emergence of resistance and a latent form responsible for a long period of treatment. Drug discovery in TB is a challenging task due to the heterogeneity of the disease, the emergence of resistance, and uncomplete knowledge of the pathophysiology of the disease. The limited permeability of the cell wall and the presence of multiple efflux pumps remain a major barrier to achieve effective intracellular drug accumulation. While the complete genome sequence of Mtb has been determined and several potential protein targets have been validated, the lack of adequate models for in vitro and in vivo studies is a limiting factor in TB drug discovery programs. In current therapeutic regimens, less than 0.5% of bacterial proteins are targeted during the biosynthesis of the cell wall and the energetic metabolism of two of the most important processes exploited for TB chemotherapeutics. This review provides an overview on the current challenges in TB drug discovery and emerging Mtb druggable proteins, and explains how chemical probes for protein profiling enabled the identification of new targets and biomarkers, paving the way to disruptive therapeutic regimens and diagnostic tools."
Identification of anti-Mycobacterium tuberculosis agents targeting the interaction of bacterial division proteins FtsZ and SepFe,Zhang H.,Acta Pharmaceutica Sinica B,2023-05-01,10.1016/j.apsb.2023.01.022,15,"Tuberculosis (TB) is one of the deadly diseases caused by Mycobacterium tuberculosis (Mtb), which presents a significant public health challenge. Treatment of TB relies on the combination of several anti-TB drugs to create shorter and safer regimens. Therefore, new anti-TB agents working by different mechanisms are urgently needed. FtsZ, a tubulin-like protein with GTPase activity, forms a dynamic Z-ring in cell division. Most of FtsZ inhibitors are designed to inhibit GTPase activity. In Mtb, the function of Z-ring is modulated by SepF, a FtsZ binding protein. The FtsZ/SepF interaction is essential for FtsZ bundling and localization at the site of division. Here, we established a yeast two-hybrid based screening system to identify inhibitors of FtsZ/SepF interaction in M. tuberculosis. Using this system, we found compound T0349 showing strong anti-Mtb activity but with low toxicity to other bacteria strains and mice. Moreover, we have demonstrated that T0349 binds specifically to SepF to block FtsZ/SepF interaction by GST pull-down, fluorescence polarization (FP), surface plasmon resonance (SPR) and CRISPRi knockdown assays. Furthermore, T0349 can inhibit bacterial cell division by inducing filamentation and abnormal septum. Our data demonstrated that FtsZ/SepF interaction is a promising anti-TB drug target for identifying agents with novel mechanisms."
Recent Advances in Anti-Tuberculosis Drug Discovery Based on Hydrazide–Hydrazone and Thiadiazole Derivatives Targeting InhA,Teneva Y.,Pharmaceuticals,2023-04-01,10.3390/ph16040484,51,"Tuberculosis is an extremely serious problem of global public health. Its incidence is worsened by the presence of multidrug-resistant (MDR) strains of Mycobacterium tuberculosis. More serious forms of drug resistance have been observed in recent years. Therefore, the discovery and/or synthesis of new potent and less toxic anti-tubercular compounds is very critical, especially having in mind the consequences and the delays in treatment caused by the COVID-19 pandemic. Enoyl-acyl carrier protein reductase (InhA) is an important enzyme involved in the biosynthesis of mycolic acid, a major component of the M. tuberculosis cell wall. At the same time, it is a key enzyme in the development of drug resistance, making it an important target for the discovery of new antimycobacterial agents. Many different chemical scaffolds, including hydrazide hydrazones and thiadiazoles, have been evaluated for their InhA inhibitory activity. The aim of this review is to evaluate recently described hydrazide-hydrazone- and thiadiazole-containing derivatives that inhibit InhA activity, resulting in antimycobacterial effects. In addition, a brief review of the mechanisms of action of currently available anti-tuberculosis drugs is provided, including recently approved agents and molecules in clinical trials."
A Novel Tool to Identify Bactericidal Compounds against Vulnerable Targets in Drug-Tolerant M. tuberculosis found in Caseum,Sarathy J.P.,Mbio,2023-03-01,10.1128/mbio.00598-23,32,". The assay is well suited to screen for bactericidal compounds against caseum-resident Mtb in a medium-throughput format, allowing for reduced reliance on resource intensive animal models that present large necrotic lesions and cavities. Importantly, this approach will aid the identification of vulnerable targets in caseum Mtb and can accelerate the development of novel TB drugs with treatment-shortening potential."
A soft-computation hybrid method for search of the antibiotic-resistant gene in Mycobacterium tuberculosis for promising drug target identification and antimycobacterial lead discovery,Jaiswal N.,Bioinformatics Advances,2023-01-01,10.1093/bioadv/vbad090,8,"Summary Tuberculosis (TB) control programs were already piloted before the COVID-19 pandemic commenced and the global TB response was amplified by the pandemic. To combat the global TB epidemic, drug repurposing, novel drug discovery, identification and targeting of the antimicrobial resistance (AMR) genes, and addressing social determinants of TB are required. The study aimed to identify AMR genes in Mycobacterium tuberculosis (MTB) and a new anti-mycobacterial drug candidate. In this research, we used a few software to explore some AMR genes as a target protein in MTB and identified some potent antimycobacterial agents. We used Maestro v12.8 software, along with STRING v11.0, KEGG and Pass Server databases to gain a deeper understanding of MTB AMR genes as drug targets. Computer-aided analysis was used to identify mtrA and katG AMR genes as potential drug targets to depict some antimycobacterial drug candidates. Based on docking scores of –4.218 and –6.161, carvacrol was identified as a potent inhibitor against both drug targets. This research offers drug target identification and discovery of antimycobacterial leads, a unique and promising approach to combating the challenge of antibiotic resistance in Mycobacterium, and contributes to the development of a potential futuristic solution."
Identification of small molecules targeting homoserine acetyl transferase from Mycobacterium tuberculosis and Staphylococcus aureus,Chaudhary D.,Scientific Reports,2022-12-01,10.1038/s41598-022-16468-w,10,"There is an urgent need to validate new drug targets and identify small molecules that possess activity against both drug-resistant and drug-sensitive bacteria. The enzymes belonging to amino acid biosynthesis have been shown to be essential for growth in vitro, in vivo and have not been exploited much for the development of anti-tubercular agents. Here, we have identified small molecule inhibitors targeting homoserine acetyl transferase (HSAT, MetX, Rv3341) from M. tuberculosis. MetX catalyses the first committed step in L-methionine and S-adenosyl methionine biosynthesis resulting in the formation of O-acetyl-homoserine. Using CRISPRi approach, we demonstrate that conditional repression of metX resulted in inhibition of M. tuberculosis growth in vitro. We have determined steady state kinetic parameters for the acetylation of L-homoserine by Rv3341. We show that the recombinant enzyme followed Michaelis-Menten kinetics and utilizes both acetyl-CoA and propionyl-CoA as acyl-donors. High-throughput screening of a 2443 compound library resulted in identification of small molecule inhibitors against MetX enzyme from M. tuberculosis. The identified lead compounds inhibited Rv3341 enzymatic activity in a dose dependent manner and were also active against HSAT homolog from S. aureus. Molecular docking of the identified primary hits predicted residues that are essential for their binding in HSAT homologs from M. tuberculosis and S. aureus. ThermoFluor assay demonstrated direct binding of the identified primary hits with HSAT proteins. Few of the identified small molecules were able to inhibit growth of M. tuberculosis and S. aureus in liquid cultures. Taken together, our findings validated HSAT as an attractive target for development of new broad-spectrum anti-bacterial agents that should be effective against drug-resistant bacteria."
Identifying the Novel Inhibitors Against the Mycolic Acid Biosynthesis Pathway Target “mtFabH” of Mycobacterium tuberculosis,Kumar N.,Frontiers in Microbiology,2022-05-06,10.3389/fmicb.2022.818714,7,"Mycolic acids are the key constituents of mycobacterial cell wall, which protect the bacteria from antibiotic susceptibility, helping to subvert and escape from the host immune system. Thus, the enzymes involved in regulating and biosynthesis of mycolic acids can be explored as potential drug targets to kill Mycobacterium tuberculosis (Mtb). Herein, Kyoto Encyclopedia of Genes and Genomes is used to understand the fatty acid metabolism signaling pathway and integrative computational approach to identify the novel lead molecules against the mtFabH (β-ketoacyl-acyl carrier protein synthase III), the key regulatory enzyme of the mycolic acid pathway. The structure-based virtual screening of antimycobacterial compounds from ChEMBL library against mtFabH results in the selection of 10 lead molecules. Molecular binding and drug-likeness properties of lead molecules compared with mtFabH inhibitor suggest that only two compounds, ChEMBL414848 (C1) and ChEMBL363794 (C2), may be explored as potential lead molecules. However, the spatial stability and binding free energy estimation of thiolactomycin (TLM) and compounds C1 and C2 with mtFabH using molecular dynamics simulation, followed by molecular mechanics Poisson–Boltzmann surface area (MM/PBSA) indicate the better activity of C2 (ΔG = −14.18 kcal/mol) as compared with TLM (ΔG = −9.21 kcal/mol) and C1 (ΔG = −13.50 kcal/mol). Thus, compound C1 may be explored as promising drug candidate for the structure-based drug designing of mtFabH inhibitors in the therapy of Mtb."
Discovery of Mycobacterium tuberculosis Rv3364c-Derived Small Molecules as Potential Therapeutic Agents to Target SNX9 for Sepsis,Lee D.,Journal of Medicinal Chemistry,2022-01-13,10.1021/acs.jmedchem.1c01551,6,"The serine protease inhibitor Rv3364c of Mycobacterium tuberculosis (MTB) is highly expressed in cells during MTB exposure. In this study, we showed that the 12WLVSKF17 motif of Rv3364c interacts with the BAR domain of SNX9 and inhibits endosome trafficking to interact with p47phox, thereby suppressing TLR4 inflammatory signaling in macrophages. Derived from the structure of this Rv3364c peptide motif, 2,4-diamino-6-(4-tert-butylphenyl)-1,3,5-trazine, DATPT as a 12WLVSKF17 peptide-mimetic small molecule has been identified. DATPT can block the SNX9–p47phox interaction in the endosome and suppress reactive oxygen species and inflammatory cytokine production; it demonstrated significant therapeutic effects in a mouse model of cecal ligation and puncture-induced sepsis. DATPT has considerably improved potency, with an IC50 500-fold (in vitro) or 2000-fold (in vivo) lower than that of the 12WLVSKF17 peptide. Furthermore, DATPT shows potent antibacterial activities by reduction in ATP production and leakage of intracellular ATP out of bacteria. These results provide evidence for peptide-derived small molecule DATPT with anti-inflammatory and antibacterial functions for the treatment of sepsis."
Advances in Key Drug Target Identification and New Drug Development for Tuberculosis,Mi J.,Biomed Research International,2022-01-01,10.1155/2022/5099312,36,"Tuberculosis (TB) is a severe infectious disease worldwide. The increasing emergence of drug‐resistant Mycobacterium tuberculosis ( Mtb ) has markedly hampered TB control. Therefore, there is an urgent need to develop new anti‐TB drugs to treat drug‐resistant TB and shorten the standard therapy. The discovery of targets of drug action will lay a theoretical foundation for new drug development. With the development of molecular biology and the success of Mtb genome sequencing, great progress has been made in the discovery of new targets and their relevant inhibitors. In this review, we summarized 45 important drug targets and 15 new drugs that are currently being tested in clinical stages and several prospective molecules that are still at the level of preclinical studies. A comprehensive understanding of the drug targets of Mtb can provide extensive insights into the development of safer and more efficient drugs and may contribute new ideas for TB control and treatment."
Study of the bioenergetics to identify the novel pathways as a drug target against Mycobacterium tuberculosis using Petri net,Gupta S.,Biosystems,2021-11-01,10.1016/j.biosystems.2021.104509,12,Sin abstract en OpenAlex
Identification of bioactive natural compounds as efficient inhibitors against Mycobacterium tuberculosis protein-targets: A molecular docking and molecular dynamics simulation study,Miryala S.K.,Journal of Molecular Liquids,2021-11-01,10.1016/j.molliq.2021.117340,52,Sin abstract en OpenAlex
Screening and Identification of a Novel Anti-tuberculosis Compound That Targets Deoxyuridine 5′-Triphosphate Nucleotidohydrolase,Zhang Y.,Frontiers in Microbiology,2021-10-11,10.3389/fmicb.2021.757914,5,"Tuberculosis (TB) is still a threat to humans worldwide. The rise of drug-resistant TB strains has escalated the need for developing effective anti-TB agents. Deoxyuridine 5′-triphosphate nucleotidohydrolase (dUTPase) is essential for thymidylate biosynthesis to maintain the DNA integrity. In Mycobacterium tuberculosis , dUTPase provides the sole source for thymidylate biosynthesis, which also has the specific five-residue loop and the binding pockets absent in human dUTPase. Therefore, dUTPase has been regarded as a promising anti-TB drug target. Herein, we used a luminescence-based dUTPase assay to search for the inhibitors target M. tuberculosis dUTPase (Mt-dUTPase) and identified compound F0414 as a potent Mt-dUTPase inhibitor with an IC 50 of 0.80 ± 0.09 μM. F0414 exhibited anti-TB activity with low cytotoxicity. Molecular docking model and site-directed mutation experiments revealed that P79 was the key residue in the interaction of Mt-dUTPase and F0414. Moreover, F0414 was shown to have stronger binding with Mt-dUTPase than with Mt-P79A-dUTPase by surface plasmon resonance (SPR) detection. Interestingly, F0414 exhibited insensitivity and weak directly binding on human dUTPase compared with that on Mt-dUTPase. All the results highlight that F0414 is the first compound reported to have anti-TB activity by inhibiting Mt-dUTPase, which indicates the potential application in anti-TB therapy."
Identification of inhibitors targeting polyketide synthase 13 of Mycobacterium tuberculosis as antituberculosis drug leads,Wang X.,Bioorganic Chemistry,2021-09-01,10.1016/j.bioorg.2021.105110,25,Sin abstract en OpenAlex
Determination of variable region sequences from hybridoma immunoglobulins that target Mycobacterium tuberculosis virulence factors,Foreman H.C.C.,Plos One,2021-08-01,10.1371/journal.pone.0256079,6,"Mycobacterium tuberculosis (Mtb) infects one-quarter of the world's population. Mtb and HIV coinfections enhance the comorbidity of tuberculosis (TB) and AIDS, accounting for one-third of all AIDS-associated mortalities. Humoral antibody to Mtb correlates with TB susceptibility, and engineering of Mtb antibodies may lead to new diagnostics and therapeutics. The characterization and validation of functional immunoglobulin (Ig) variable chain (IgV) sequences provide a necessary first step towards developing therapeutic antibodies against pathogens. The virulence-associated Mtb antigens SodA (Superoxide Dismutase), KatG (Catalase), PhoS1/PstS1 (regulatory factor), and GroES (heat shock protein) are potential therapeutic targets but lacked IgV sequence characterization. Putative IgV sequences were identified from the mRNA of hybridomas targeting these antigens and isotype-switched into a common immunoglobulin fragment crystallizable region (Fc region) backbone, subclass IgG2aκ. Antibodies were validated by demonstrating recombinant Ig assembly and secretion, followed by the determination of antigen-binding specificity using ELISA and immunoblot assay."
Gene expression profile analysis and target gene discovery of Mycobacterium tuberculosis biofilm,Ma F.,Applied Microbiology and Biotechnology,2021-06-01,10.1007/s00253-021-11361-4,10,Sin abstract en OpenAlex
Targeting Mycobacterium Tuberculosis Enoyl-Acyl Carrier Protein Reductase Using Computational Tools for Identification of Potential Inhibitor and their Biological Activity,Kuldeep J.,Molecular Informatics,2021-05-01,10.1002/minf.202000211,23,"Enoyl-acyl carrier protein reductase (InhA) of type II fatty acid synthase system is involved in the synthesis of mycolic acids which is a major component of the bacterial cell wall. Since they are the key enzymes playing a very significant role in the FASII pathway of the bacterium. In this study, we have developed a workflow for identification of InhA inhibitors by utilizing in silico virtual screening approaches based on various machine learning algorithms followed by pharmacophore based virtual screening. The hits screened from the models were further subjected to molecular docking. Further, based on the XP docking score best twenty compounds were subjected to molecular dynamics study. Finally, nine compounds were shortlisted on the basis of best stable ligand RMSD, c-alpha RMSD, and RMSF plot for biological evaluation studies. Experimental validation of the shortlisted compounds identified one compound JFD01724 having potent inhibitory activity and was able to inhibit the growth of mycobacterium tuberculosis. Further medicinal chemistry efforts may help to improve the inhibitory potency of the identified compound."
Pangenome analysis of mycobacterium tuberculosis reveals core-drug targets and screening of promising lead compounds for drug discovery,Dar H.A.,Antibiotics,2020-11-01,10.3390/antibiotics9110819,30,"Tuberculosis, caused by Mycobacterium tuberculosis (M. tuberculosis), is one of the leading causes of human deaths globally according to the WHO TB 2019 report. The continuous rise in multi- and extensive-drug resistance in M. tuberculosis broadens the challenges to control tuberculosis. The availability of a large number of completely sequenced genomes of M. tuberculosis has provided an opportunity to explore the pangenome of the species along with the pan-phylogeny and to identify potential novel drug targets leading to drug discovery. We attempt to calculate the pangenome of M. tuberculosis that comprises a total of 150 complete genomes and performed the phylo-genomic classification and analysis. Further, the conserved core genome (1251 proteins) is subjected to various sequential filters (non-human homology, essentiality, virulence, physicochemical parameters, and pathway analysis) resulted in identification of eight putative broad-spectrum drug targets. Upon molecular docking analyses of these targets with ligands available at the DrugBank database shortlisted a total of five promising ligands with projected inhibitory potential; namely, 2′deoxy-thymidine-5′-diphospho-alpha-d-glucose, uridine diphosphate glucose, 2′-deoxy-thymidine-beta-l-rhamnose, thymidine-5′-triphosphate, and citicoline. We are confident that with further lead optimization and experimental validation, these lead compounds may provide a sound basis to develop safe and effective drugs against tuberculosis disease in humans."
Discovery and evaluation of new compounds targeting ribosomal protein S1 in antibiotic-resistant Mycobacterium Tuberculosis,Dai Y.,European Journal of Medicinal Chemistry,2020-06-15,10.1016/j.ejmech.2020.112317,5,Sin abstract en OpenAlex
